

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 06:41:12 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2443416.500000000, A.D. 1977-Sep-30 00:00:00.0000,  1.572701382301671E+08,  4.783696125980380E+07,  1.051581534658251E+07,
2443417.500000000, A.D. 1977-Oct-01 00:00:00.0000,  1.571643801780723E+08,  5.101830774248784E+07,  1.073821890973231E+07,
2443418.500000000, A.D. 1977-Oct-02 00:00:00.0000,  1.570243116560576E+08,  5.418834727112512E+07,  1.095826949129211E+07,
2443419.500000000, A.D. 1977-Oct-03 00:00:00.0000,  1.568505162013032E+08,  5.734657973365623E+07,  1.117595766065813E+07,
2443420.500000000, A.D. 1977-Oct-04 00:00:00.0000,  1.566435834990285E+08,  6.049252987860497E+07,  1.139127603825339E+07,
2443421.500000000, A.D. 1977-Oct-05 00:00:00.0000,  1.564041081479769E+08,  6.362574699456726E+07,  1.160421921720689E+07,
2443422.500000000, A.D. 1977-Oct-06 00:00:00.0000,  1.561326884819678E+08,  6.674580453556647E+07,  1.181478368367044E+07,
2443423.500000000, A.D. 1977-Oct-07 00:00:00.0000,  1.558299254491251E+08,  6.985229969791034E+07,  1.202296773627144E+07,
2443424.500000000, A.D. 1977-Oct-08 00:00:00.0000,  1.554964215494131E+08,  7.294485295371056E+07,  1.222877140506531E+07,
2443425.500000000, A.D. 1977-Oct-09 00:00:00.0000,  1.551327798310617E+08,  7.602310754639454E+07,  1.243219637041408E+07,
2443426.500000000, A.D. 1977-Oct-10 00:00:00.0000,  1.547396029459384E+08,  7.908672895318080E+07,  1.263324588214831E+07,
2443427.500000000, A.D. 1977-Oct-11 00:00:00.0000,  1.543174922635575E+08,  8.213540431931111E+07,  1.283192467934186E+07,
2443428.500000000, A.D. 1977-Oct-12 00:00:00.0000,  1.538670470430920E+08,  8.516884186856358E+07,  1.302823891099544E+07,
2443429.500000000, A.D. 1977-Oct-13 00:00:00.0000,  1.533891633441622E+08,  8.818744190714392E+07,  1.322245971577147E+07,
2443430.500000000, A.D. 1977-Oct-14 00:00:00.0000,  1.528841637296478E+08,  9.119034692894429E+07,  1.341435787212498E+07,
2443431.500000000, A.D. 1977-Oct-15 00:00:00.0000,  1.523526077341416E+08,  9.417725922082512E+07,  1.360391755057522E+07,
2443432.500000000, A.D. 1977-Oct-16 00:00:00.0000,  1.517950792526844E+08,  9.714796516703227E+07,  1.379114975261019E+07,
2443433.500000000, A.D. 1977-Oct-17 00:00:00.0000,  1.512121567503020E+08,  1.001022690775888E+08,  1.397606651664684E+07,
2443434.500000000, A.D. 1977-Oct-18 00:00:00.0000,  1.506044127544613E+08,  1.030399925359892E+08,  1.415868084859452E+07,
2443435.500000000, A.D. 1977-Oct-19 00:00:00.0000,  1.499724133949172E+08,  1.059609737474629E+08,  1.433900665458805E+07,
2443436.500000000, A.D. 1977-Oct-20 00:00:00.0000,  1.493167179889071E+08,  1.088650668902387E+08,  1.451705867597067E+07,
2443437.500000000, A.D. 1977-Oct-21 00:00:00.0000,  1.486378786695922E+08,  1.117521414719821E+08,  1.469285242658938E+07,
2443438.500000000, A.D. 1977-Oct-22 00:00:00.0000,  1.479364400556215E+08,  1.146220816933464E+08,  1.486640413244692E+07,
