0	1.2896551E+11	-8.0226582E+10	9.3559782E+07	1.7636928E+04	3.4605060E+04	3.2947696E+03
86400	1.3046944E+11	-7.7230371E+10	3.7643502E+08	1.7184669E+04	3.4783602E+04	3.2651052E+03
172800	1.3193520E+11	-7.4214823E+10	6.5824303E+08	1.6744402E+04	3.5021553E+04	3.2588780E+03
259200	1.3336274E+11	-7.1178708E+10	9.3961216E+08	1.6299414E+04	3.5257941E+04	3.2543492E+03
345600	1.3475158E+11	-6.8122455E+10	1.2205901E+09	1.5848697E+04	3.5487321E+04	3.2496953E+03
432000	1.3610123E+11	-6.5046747E+10	1.5011422E+09	1.5392281E+04	3.5708095E+04	3.2444497E+03
518400	1.3741121E+11	-6.1952365E+10	1.7812089E+09	1.4930430E+04	3.5919514E+04	3.2384388E+03
604800	1.3868106E+11	-5.8840138E+10	2.0607201E+09	1.4463492E+04	3.6121115E+04	3.2315850E+03
691200	1.3991036E+11	-5.5710929E+10	2.3396014E+09	1.3991857E+04	3.6312563E+04	3.2238506E+03
777600	1.4109873E+11	-5.2565627E+10	2.6177756E+09	1.3515938E+04	3.6493595E+04	3.2152173E+03
864000	1.4224581E+11	-4.9405142E+10	2.8951649E+09	1.3036166E+04	3.6663998E+04	3.2056784E+03
950400	1.4335128E+11	-4.6230400E+10	3.1716908E+09	1.2552982E+04	3.6823598E+04	3.1952340E+03
1.04E+06	1.4441488E+11	-4.3042340E+10	3.4472754E+09	1.2066839E+04	3.6972252E+04	3.1838894E+03
1.12E+06	1.4543636E+11	-3.9841913E+10	3.7218412E+09	1.1578194E+04	3.7109848E+04	3.1716539E+03
1.21E+06	1.4641553E+11	-3.6630079E+10	3.9953118E+09	1.1087508E+04	3.7236302E+04	3.1585397E+03
1.30E+06	1.4735223E+11	-3.3407803E+10	4.2676120E+09	1.0595244E+04	3.7351558E+04	3.1445620E+03
1.38E+06	1.4824635E+11	-3.0176053E+10	4.5386678E+09	1.0101865E+04	3.7455586E+04	3.1297380E+03
1.47E+06	1.4909782E+11	-2.6935801E+10	4.8084069E+09	9.6078325E+03	3.7548382E+04	3.1140872E+03
1.56E+06	1.4990658E+11	-2.3688015E+10	5.0767588E+09	9.1136031E+03	3.7629967E+04	3.0976308E+03
1.64E+06	1.5067265E+11	-2.0433664E+10	5.3436550E+09	8.6196282E+03	3.7700385E+04	3.0803917E+03
1.73E+06	1.5139607E+11	-1.7173709E+10	5.6090287E+09	8.1263518E+03	3.7759706E+04	3.0623943E+03
1.81E+06	1.5207692E+11	-1.3909104E+10	5.8728156E+09	7.6342093E+03	3.7808022E+04	3.0436643E+03
1.90E+06	1.5271531E+11	-1.0640796E+10	6.1349536E+09	7.1436258E+03	3.7845445E+04	3.0242286E+03
1.99E+06	1.5331140E+11	-7.3697209E+09	6.3953828E+09	6.6550148E+03	3.7872109E+04	3.0041150E+03
2.07E+06	1.5386537E+11	-4.0968011E+09	6.6540459E+09	6.1687770E+03	3.7888169E+04	2.9833525E+03
