1.2896551E+08	-8.0226582E+07	9.3559782E+04	1.7636928E+01	3.4605060E+01	3.2947696E+00
1.3046944E+08	-7.7230371E+07	3.7643502E+05	1.7184669E+01	3.4783602E+01	3.2651052E+00
1.3193520E+08	-7.4214823E+07	6.5824303E+05	1.6744402E+01	3.5021553E+01	3.2588780E+00
1.3336274E+08	-7.1178708E+07	9.3961216E+05	1.6299414E+01	3.5257941E+01	3.2543492E+00
1.3475158E+08	-6.8122455E+07	1.2205901E+06	1.5848697E+01	3.5487321E+01	3.2496953E+00
1.3610123E+08	-6.5046747E+07	1.5011422E+06	1.5392281E+01	3.5708095E+01	3.2444497E+00
1.3741121E+08	-6.1952365E+07	1.7812089E+06	1.4930430E+01	3.5919514E+01	3.2384388E+00
1.3868106E+08	-5.8840138E+07	2.0607201E+06	1.4463492E+01	3.6121115E+01	3.2315850E+00
1.3991036E+08	-5.5710929E+07	2.3396014E+06	1.3991857E+01	3.6312563E+01	3.2238506E+00
1.4109873E+08	-5.2565627E+07	2.6177756E+06	1.3515938E+01	3.6493595E+01	3.2152173E+00
1.4224581E+08	-4.9405142E+07	2.8951649E+06	1.3036166E+01	3.6663998E+01	3.2056784E+00
1.4335128E+08	-4.6230400E+07	3.1716908E+06	1.2552982E+01	3.6823598E+01	3.1952340E+00
1.4441488E+08	-4.3042340E+07	3.4472754E+06	1.2066839E+01	3.6972252E+01	3.1838894E+00
1.4543636E+08	-3.9841913E+07	3.7218412E+06	1.1578194E+01	3.7109848E+01	3.1716539E+00
1.4641553E+08	-3.6630079E+07	3.9953118E+06	1.1087508E+01	3.7236302E+01	3.1585397E+00
1.4735223E+08	-3.3407803E+07	4.2676120E+06	1.0595244E+01	3.7351558E+01	3.1445620E+00
1.4824635E+08	-3.0176053E+07	4.5386678E+06	1.0101865E+01	3.7455586E+01	3.1297380E+00
1.4909782E+08	-2.6935801E+07	4.8084069E+06	9.6078325E+00	3.7548382E+01	3.1140872E+00
1.4990658E+08	-2.3688015E+07	5.0767588E+06	9.1136031E+00	3.7629967E+01	3.0976308E+00
1.5067265E+08	-2.0433664E+07	5.3436550E+06	8.6196282E+00	3.7700385E+01	3.0803917E+00
1.5139607E+08	-1.7173709E+07	5.6090287E+06	8.1263518E+00	3.7759706E+01	3.0623943E+00
1.5207692E+08	-1.3909104E+07	5.8728156E+06	7.6342093E+00	3.7808022E+01	3.0436643E+00
1.5271531E+08	-1.0640796E+07	6.1349536E+06	7.1436258E+00	3.7845445E+01	3.0242286E+00
1.5331140E+08	-7.3697209E+06	6.3953828E+06	6.6550148E+00	3.7872109E+01	3.0041150E+00
1.5386537E+08	-4.0968011E+06	6.6540459E+06	6.1687770E+00	3.7888169E+01	2.9833525E+00
1.5437744E+08	-8.2294576E+05	6.9108882E+06	5.6852993E+00	3.7893796E+01	2.9619703E+00
1.5484788E+08	2.4509517E+06	7.1658574E+06	5.2049536E+00	3.7889178E+01	2.9399987E+00
1.5527696E+08	5.7240151E+06	7.4189039E+06	4.7280963E+00	3.7874522E+01	2.9174682E+00
1.5566500E+08	8.9953864E+06	7.6699807E+06	4.2550670E+00	3.7850047E+01	2.8944096E+00
1.5601235E+08	1.2264227E+07	7.9190436E+06	3.7861885E+00	3.7815986E+01	2.8708541E+00
1.5631938E+08	1.5529720E+07	8.1660509E+06	3.3217657E+00	3.7772583E+01	2.8468326E+00
1.5658649E+08	1.8791068E+07	8.4109638E+06	2.8620859E+00	3.7720094E+01	2.8223764E+00
1.5681410E+08	2.2047498E+07	8.6537459E+06	2.4074180E+00	3.7658785E+01	2.7975164E+00
1.5700264E+08	2.5298260E+07	8.8943638E+06	1.9580124E+00	3.7588927E+01	2.7722833E+00
1.5715260E+08	2.8542626E+07	9.1327866E+06	1.5141014E+00	3.7510800E+01	2.7467073E+00
1.5726444E+08	3.1779896E+07	9.3689859E+06	1.0758987E+00	3.7424689E+01	2.7208186E+00
1.5733868E+08	3.5009391E+07	9.6029359E+06	6.4360004E-01	3.7330883E+01	2.6946464E+00
1.5737583E+08	3.8230459E+07	9.8346134E+06	2.1738292E-01	3.7229673E+01	2.6682196E+00
1.5737643E+08	4.1442474E+07	1.0063998E+07	-2.0259262E-01	3.7121355E+01	2.6415663E+00
1.5734101E+08	4.4644833E+07	1.0291070E+07	-6.1618389E-01	3.7006223E+01	2.6147141E+00
1.5727014E+08	4.7836961E+07	1.0515815E+07	-1.0232650E+00	3.6884572E+01	2.5876896E+00
1.5716438E+08	5.1018308E+07	1.0738219E+07	-1.4237265E+00	3.6756695E+01	2.5605187E+00
1.5702431E+08	5.4188347E+07	1.0958269E+07	-1.8174745E+00	3.6622885E+01	2.5332265E+00
1.5685052E+08	5.7346580E+07	1.1175958E+07	-2.2044307E+00	3.6483431E+01	2.5058372E+00
1.5664358E+08	6.0492530E+07	1.1391276E+07	-2.5845310E+00	3.6338619E+01	2.4783741E+00
1.5640411E+08	6.3625747E+07	1.1604219E+07	-2.9577255E+00	3.6188732E+01	2.4508594E+00
1.5613269E+08	6.6745805E+07	1.1814784E+07	-3.3239777E+00	3.6034045E+01	2.4233148E+00
1.5582993E+08	6.9852300E+07	1.2022968E+07	-3.6832634E+00	3.5874833E+01	2.3957606E+00
1.5549642E+08	7.2944853E+07	1.2228771E+07	-4.0355708E+00	3.5711360E+01	2.3682165E+00
1.5513278E+08	7.6023108E+07	1.2432196E+07	-4.3808989E+00	3.5543888E+01	2.3407010E+00
1.5473960E+08	7.9086729E+07	1.2633246E+07	-4.7192577E+00	3.5372671E+01	2.3132320E+00
