

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 06:53:56 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of B1950.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2443416.500000000, A.D. 1977-Sep-30 00:00:00.0000,  1.578417678774503E+08,  4.591722084963269E+07,  1.050898456932937E+07,
2443417.500000000, A.D. 1977-Oct-01 00:00:00.0000,  1.577748057171469E+08,  4.909964543726748E+07,  1.073102818323379E+07,
2443418.500000000, A.D. 1977-Oct-02 00:00:00.0000,  1.576733977626498E+08,  5.227118194455980E+07,  1.095072040454306E+07,
2443419.500000000, A.D. 1977-Oct-03 00:00:00.0000,  1.575381214105017E+08,  5.543132318129437E+07,  1.116805185417648E+07,
2443420.500000000, A.D. 1977-Oct-04 00:00:00.0000,  1.573695605079393E+08,  5.857958674126923E+07,  1.138301520120502E+07,
2443421.500000000, A.D. 1977-Oct-05 00:00:00.0000,  1.571683041145609E+08,  6.171551469685031E+07,  1.159560508457793E+07,
2443422.500000000, A.D. 1977-Oct-06 00:00:00.0000,  1.569349453193987E+08,  6.483867323871282E+07,  1.180581803349260E+07,
2443423.500000000, A.D. 1977-Oct-07 00:00:00.0000,  1.566700801150704E+08,  6.794865226638436E+07,  1.201365238690532E+07,
2443424.500000000, A.D. 1977-Oct-08 00:00:00.0000,  1.563743063297061E+08,  7.104506493474340E+07,  1.221910821254615E+07,
2443425.500000000, A.D. 1977-Oct-09 00:00:00.0000,  1.560482226172969E+08,  7.412754716179420E+07,  1.242218722586364E+07,
2443426.500000000, A.D. 1977-Oct-10 00:00:00.0000,  1.556924275065826E+08,  7.719575710268985E+07,  1.262289270925622E+07,
2443427.500000000, A.D. 1977-Oct-11 00:00:00.0000,  1.553075185082290E+08,  8.024937459479883E+07,  1.282122943191905E+07,
2443428.500000000, A.D. 1977-Oct-12 00:00:00.0000,  1.548940912797129E+08,  8.328810057834749E+07,  1.301720357060179E+07,
2443429.500000000, A.D. 1977-Oct-13 00:00:00.0000,  1.544530466972321E+08,  8.631232443610293E+07,  1.321108621055450E+07,
2443430.500000000, A.D. 1977-Oct-14 00:00:00.0000,  1.539846968429490E+08,  8.932118476715556E+07,  1.340264822462936E+07,
2443431.500000000, A.D. 1977-Oct-15 00:00:00.0000,  1.534895975801056E+08,  9.231437705707131E+07,  1.359187381212292E+07,
2443432.500000000, A.D. 1977-Oct-16 00:00:00.0000,  1.529683301561404E+08,  9.529168058859834E+07,  1.377877399354275E+07,
2443433.500000000, A.D. 1977-Oct-17 00:00:00.0000,  1.524214706074357E+08,  9.825289263524777E+07,  1.396336082434032E+07,
2443434.500000000, A.D. 1977-Oct-18 00:00:00.0000,  1.518495892438571E+08,  1.011978278152163E+08,  1.414564732555307E+07,
2443435.500000000, A.D. 1977-Oct-19 00:00:00.0000,  1.512532501806891E+08,  1.041263174453006E+08,  1.432564741661537E+07,
2443436.500000000, A.D. 1977-Oct-20 00:00:00.0000,  1.506330109159497E+08,  1.070382088972596E+08,  1.450337585041892E+07,
2443437.500000000, A.D. 1977-Oct-21 00:00:00.0000,  1.499894219510139E+08,  1.099333649588227E+08,  1.467884815068433E+07,
2443438.500000000, A.D. 1977-Oct-22 00:00:00.0000,  1.493230264524408E+08,  1.128116632013097E+08,  1.485208055168820E+07,
2443439.500000000, A.D. 1977-Oct-23 00:00:00.0000,  1.486343599528898E+08,  1.156729953556092E+08,  1.502308994037287E+07,
2443440.500000000, A.D. 1977-Oct-24 00:00:00.0000,  1.479239500890169E+08,  1.185172666980585E+08,  1.519189380085025E+07,
2443441.500000000, A.D. 1977-Oct-25 00:00:00.0000,  1.471923163742717E+08,  1.213443954475787E+08,  1.535851016129594E+07,
2443442.500000000, A.D. 1977-Oct-26 00:00:00.0000,  1.464399700044922E+08,  1.241543121751977E+08,  1.552295754322629E+07,
2443443.500000000, A.D. 1977-Oct-27 00:00:00.0000,  1.456674136942886E+08,  1.269469592269594E+08,  1.568525491313260E+07,
2443444.500000000, A.D. 1977-Oct-28 00:00:00.0000,  1.448751415422155E+08,  1.297222901610256E+08,  1.584542163644265E+07,
2443445.500000000, A.D. 1977-Oct-29 00:00:00.0000,  1.440636389228409E+08,  1.324802691996775E+08,  1.600347743375500E+07,
2443446.500000000, A.D. 1977-Oct-30 00:00:00.0000,  1.432333824038032E+08,  1.352208706967616E+08,  1.615944233935879E+07,
2443447.500000000, A.D. 1977-Oct-31 00:00:00.0000,  1.423848396861227E+08,  1.379440786209489E+08,  1.631333666184456E+07,
2443448.500000000, A.D. 1977-Nov-01 00:00:00.0000,  1.415184695659452E+08,  1.406498860551747E+08,  1.646518094694015E+07,
2443449.500000000, A.D. 1977-Nov-02 00:00:00.0000,  1.406347219161363E+08,  1.433382947124229E+08,  1.661499594236482E+07,
2443450.500000000, A.D. 1977-Nov-03 00:00:00.0000,  1.397340376861187E+08,  1.460093144679867E+08,  1.676280256469578E+07,
2443451.500000000, A.D. 1977-Nov-04 00:00:00.0000,  1.388168489184494E+08,  1.486629629082360E+08,  1.690862186817010E+07,
2443452.500000000, A.D. 1977-Nov-05 00:00:00.0000,  1.378835787807063E+08,  1.512992648958471E+08,  1.705247501535384E+07,
2443453.500000000, A.D. 1977-Nov-06 00:00:00.0000,  1.369346416113268E+08,  1.539182521513876E+08,  1.719438324960904E+07,
2443454.500000000, A.D. 1977-Nov-07 00:00:00.0000,  1.359704429781168E+08,  1.565199628510921E+08,  1.733436786928860E+07,
2443455.500000000, A.D. 1977-Nov-08 00:00:00.0000,  1.349913797482221E+08,  1.591044412406146E+08,  1.747245020358846E+07,
2443456.500000000, A.D. 1977-Nov-09 00:00:00.0000,  1.339978401684272E+08,  1.616717372645022E+08,  1.760865158998675E+07,
2443457.500000000, A.D. 1977-Nov-10 00:00:00.0000,  1.329902039547144E+08,  1.642219062110974E+08,  1.774299335320080E+07,
2443458.500000000, A.D. 1977-Nov-11 00:00:00.0000,  1.319688423900872E+08,  1.667550083725453E+08,  1.787549678559192E+07,
2443459.500000000, A.D. 1977-Nov-12 00:00:00.0000,  1.309341184297224E+08,  1.692711087195557E+08,  1.800618312895166E+07,
2443460.500000000, A.D. 1977-Nov-13 00:00:00.0000,  1.298863868125818E+08,  1.717702765905463E+08,  1.813507355760267E+07,
2443461.500000000, A.D. 1977-Nov-14 00:00:00.0000,  1.288259941786708E+08,  1.742525853947813E+08,  1.826218916274910E+07,
2443462.500000000, A.D. 1977-Nov-15 00:00:00.0000,  1.277532791911905E+08,  1.767181123290967E+08,  1.838755093801510E+07,
