

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 02:41:50 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000,  1.289655103663718E+08, -8.022658209614377E+07,  9.355978197209165E+04,  1.763692789570448E+01,  3.460505957689750E+01,  3.294769627192190E+00,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000,  1.304694447324153E+08, -7.723037063950729E+07,  3.764350197969079E+05,  1.718466936193530E+01,  3.478360204528103E+01,  3.265105244174507E+00,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000,  1.319352038663424E+08, -7.421482253980221E+07,  6.582430328039452E+05,  1.674440172397478E+01,  3.502155250794210E+01,  3.258878044563366E+00,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000,  1.333627368965950E+08, -7.117870800430368E+07,  9.396121571425386E+05,  1.629941397684441E+01,  3.525794143156492E+01,  3.254349240310788E+00,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000,  1.347515769196121E+08, -6.812245462966160E+07,  1.220590101385154E+06,  1.584869677771669E+01,  3.548732097959889E+01,  3.249695342266230E+00,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000,  1.361012273908303E+08, -6.504674743131447E+07,  1.501142240594193E+06,  1.539228078565662E+01,  3.570809526739219E+01,  3.244449653074179E+00,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000,  1.374112064444597E+08, -6.195236543932685E+07,  1.781208882922105E+06,  1.493042998065274E+01,  3.591951438964278E+01,  3.238438759773972E+00,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000,  1.386810591565751E+08, -5.884013823081322E+07,  2.060720148964982E+06,  1.446349244326942E+01,  3.612111505192485E+01,  3.231585008850589E+00,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000,  1.399103626247936E+08, -5.571092923369187E+07,  2.339601391006425E+06,  1.399185729922503E+01,  3.631256262183151E+01,  3.223850575711969E+00,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000,  1.410987287062879E+08, -5.256562741862611E+07,  2.617775632578101E+06,  1.351593827041678E+01,  3.649359480665598E+01,  3.215217338408381E+00,
